1770,000	100,000	91,670
1780,000	100,000	91,670
1790,000	100,000	91,670
1800,000	100,000	91,768
1810,000	100,000	91,735
1820,000	100,000	91,833
1830,000	100,000	91,833
1840,000	100,000	91,898
1850,000	100,000	91,833
1860,000	100,000	91,995
1870,000	100,000	91,995
1880,000	100,000	92,060
1890,000	100,000	92,158
1900,000	100,000	92,158
1910,000	100,000	92,158
1920,000	100,000	92,190
1930,000	100,000	92,320
1940,000	100,000	92,255
1950,000	100,000	92,320
1960,000	100,000	92,385
1970,000	100,000	92,418
1980,000	100,000	92,450
1990,000	100,000	92,450
2000,000	100,000	92,548
2010,000	100,000	92,580
2020,000	100,000	92,645
2030,000	100,000	92,678
2040,000	100,000	92,710
2050,000	100,000	92,743
2060,000	100,000	92,710
2070,000	100,000	92,775
2080,000	100,000	92,808
2090,000	100,000	92,775
2100,000	100,000	92,840
2110,000	100,000	92,970
2120,000	100,000	92,872
2130,000	100,000	93,002
2140,000	100,000	92,970
2150,000	100,000	93,035
2160,000	100,000	93,067
2170,000	100,000	93,067
2180,000	100,000	93,035
2190,000	100,000	93,165
2200,000	100,000	93,132
2210,000	100,000	93,230
2220,000	100,000	93,262
2230,000	100,000	93,295
2240,000	100,000	93,295
2250,000	100,000	93,262
2260,000	100,000	93,425
2270,000	100,000	93,457
2280,000	100,000	93,425
2290,000	100,000	93,490
2300,000	100,000	93,392
2310,000	100,000	93,490
2320,000	100,000	93,490
2330,000	100,000	93,620
2340,000	100,000	93,490
2350,000	100,000	93,587
2360,000	100,000	93,685
2370,000	100,000	93,782
2380,000	100,000	93,717
2390,000	100,000	93,750
2400,000	100,000	93,782
2410,000	100,000	93,815
2420,000	100,000	93,782
2430,000	100,000	93,847
2440,000	100,000	93,782
2450,000	100,000	93,782
2460,000	100,000	93,945
2470,000	100,000	93,912
2480,000	100,000	93,912
2490,000	100,000	93,945
2500,000	100,000	93,945
2510,000	100,000	94,042
2520,000	100,000	94,139
2530,000	100,000	94,139
2540,000	100,000	94,107
2550,000	100,000	94,139
2560,000	100,000	94,139
2570,000	100,000	94,172
2580,000	100,000	94,237
2590,000	100,000	94,302
2600,000	100,000	94,237
2610,000	100,000	94,237
2620,000	100,000	94,204
2630,000	100,000	94,334
2640,000	100,000	94,302
2650,000	100,000	94,432
2660,000	100,000	94,432
2670,000	100,000	94,432
2680,000	100,000	94,432
2690,000	100,000	94,464
2700,000	100,000	94,497
2710,000	100,000	94,594
2720,000	100,000	94,464
2730,000	100,000	94,529
2740,000	100,000	94,562
2750,000	100,000	94,594
2760,000	100,000	94,627
2770,000	100,000	94,627
2780,000	100,000	94,529
2790,000	100,000	94,692
2800,000	100,000	94,659
2810,000	100,000	94,789
2820,000	100,000	94,789
2830,000	100,000	94,789
2840,000	100,000	94,692
2850,000	100,000	94,757
2860,000	100,000	94,822
2870,000	100,000	94,854
