2.000000	3.735860	1.789980	1.929982	
2.000000	3.837055	1.950313	1.925751	
2.000000	3.704050	1.814082	1.925751	
2.000000	3.792362	1.909957	1.918264	
2.000000	3.746575	1.760663	1.921519	
2.000000	3.787326	1.852817	1.924774	
2.000000	3.760844	1.871644	1.933888	
2.000000	3.776323	1.847367	1.937794	
2.000000	3.721923	1.769207	1.921194	
2.000000	3.798203	1.816517	1.921519	
2.000000	3.798095	1.841576	1.918590	
2.000000	3.900876	2.017164	1.929006	
2.000000	3.774119	1.909127	1.920217	
2.000000	3.731174	1.869857	1.923147	
2.000000	3.748441	1.803659	1.920543	
2.000000	3.753957	1.842752	1.921194	
2.000000	3.779858	1.917747	1.937143	
5.000000	3.798055	1.872336	1.922496	
5.000000	3.869767	1.950957	1.944955	
5.000000	3.780211	1.825969	1.982062	
5.000000	3.765416	1.842797	2.114216	
5.000000	3.700299	1.756888	2.266550	
5.000000	3.686691	1.786638	2.399680	
5.000000	3.832125	1.983917	2.588146	
5.000000	3.910052	1.967383	2.721927	
5.000000	3.882928	2.110897	2.900952	
5.000000	3.926999	2.172647	3.060773	
5.000000	4.003646	2.304128	3.252493	
5.000000	3.994360	2.346196	3.444539	
5.000000	3.919575	2.303280	3.620635	
5.000000	3.917398	2.402561	3.826027	
5.000000	3.919406	2.434317	3.977385	
5.000000	3.952805	2.453133	4.191890	
5.000000	3.966704	2.510957	4.357245	
5.000000	4.044175	2.600876	4.559055	
5.000000	4.009692	2.590346	4.732873	
5.000000	3.996418	2.615553	4.866003	
5.000000	3.943571	2.639466	4.873489	
5.000000	4.010364	2.560514	4.869583	
5.000000	3.934278	2.557763	4.869583	
5.000000	4.027224	2.606294	4.866654	
5.000000	3.939302	2.574762	4.866979	
5.000000	3.993029	2.620738	4.869583	
5.000000	4.050436	2.604599	4.874140	
5.000000	4.068120	2.598333	4.871536	
5.000000	3.893733	2.622230	4.866003	
5.000000	4.039401	2.685297	4.861120	
5.000000	4.046905	2.627263	4.874140	
5.000000	4.114063	2.644334	4.869583	
5.000000	3.946519	2.586092	4.875442	
5.000000	3.937919	2.601714	4.868607	
5.000000	3.970234	2.617425	4.866328	
5.000000	4.064041	2.686989	4.862748	
5.000000	3.972947	2.658174	4.875117	
5.000000	3.978417	2.583965	4.869909	
5.000000	3.977427	2.593747	4.863399	
5.000000	3.990543	2.614650	4.861771	
5.000000	3.990040	2.634387	4.862422	
5.000000	3.970811	2.627631	4.863073	
5.000000	3.999799	2.624002	4.866328	
5.000000	3.961022	2.613987	4.874791	
5.000000	4.001909	2.604208	4.868607	
5.000000	3.995904	2.652547	4.866328	
5.000000	3.991012	2.635927	4.879348	
5.000000	4.004231	2.613376	4.861771	
5.000000	4.025722	2.697731	4.865677	
5.000000	3.953934	2.591917	4.870885	
5.000000	3.990369	2.604271	4.880325	
5.000000	3.947233	2.592123	4.863399	
5.000000	3.975723	2.650328	4.873164	
5.000000	3.930599	2.561383	4.868281	
5.000000	3.944861	2.582740	4.865352	
5.000000	3.943492	2.603323	4.878697	
5.000000	4.077171	2.723240	4.869258	
5.000000	4.062994	2.682767	4.870234	
5.000000	3.937537	2.634788	4.865677	
5.000000	3.948803	2.567055	4.882278	
5.000000	3.984951	2.574113	4.860144	
5.000000	4.030290	2.583233	4.877395	
5.000000	4.049615	2.645342	4.868607	
5.000000	4.060599	2.624092	4.862422	
5.000000	4.020410	2.612933	4.868607	
5.000000	3.910022	2.599118	4.872187	
5.000000	3.972267	2.625389	4.869583	
3.000000	4.016830	2.675782	4.864701	
3.000000	4.074414	2.618736	4.868281	
3.000000	4.040353	2.710684	4.791789	
3.000000	4.005491	2.643156	4.626109	
3.000000	3.964378	2.567358	4.442200	
3.000000	3.958289	2.578871	4.274567	
3.000000	3.956214	2.545453	4.103028	
3.000000	3.944213	2.613173	3.894382	
3.000000	4.026474	2.574312	3.723819	
3.000000	3.991870	2.507212	3.550002	
3.000000	3.946157	2.449945	3.381392	
3.000000	4.040133	2.518279	3.196507	
3.000000	3.906431	2.398348	3.024968	
3.000000	3.906680	2.238650	2.935781	
3.000000	3.945467	2.303940	2.917878	
3.000000	3.977888	2.346428	2.932200	
3.000000	3.893930	2.267994	2.925365	
3.000000	3.866252	2.307172	2.928620	
3.000000	3.874051	2.342750	2.923412	
3.000000	3.948806	2.306796	2.926667	
3.000000	3.940903	2.336665	2.922761	
3.000000	3.953863	2.358131	2.928620	
3.000000	3.973093	2.337410	2.921133	
3.000000	3.992873	2.389096	2.936432	
3.000000	3.916190	2.284267	2.947499	
3.000000	3.955596	2.375665	2.925039	
3.000000	3.904664	2.345391	2.926992	
3.000000	4.053367	2.493666	2.928620	
3.000000	3.860693	2.343824	2.929271	
3.000000	4.016907	2.452962	2.931549	
3.000000	3.968829	2.339603	2.925039	
3.000000	3.916195	2.352138	2.912670	
3.000000	3.846122	2.343971	2.932851	
3.000000	3.950800	2.339019	2.919506	
3.000000	4.041699	2.423226	2.929271	
3.000000	3.954761	2.329399	2.922435	
3.000000	4.008811	2.399933	2.927969	
